source,Bias,Quality
.cnsnews.com,25.75,26.41
.epi.org,-2,48.59
.newsy.com,-3.03,48.81
.weather.com,-2.43,51.55
ABC,-1.85,49.47
Al Jazeera,-3.71,46.63
Alternet,-19.16,21.4
AP,-1.06,51.98
Axios,-5.74,47.36
BBC,-3.03,46.56
Bipartisan Report,-23.55,19.29
Bloomberg,-0.85,47.63
Breitbart,18.99,25.08
Business Insider,-0.38,43.13
BuzzFeed,-7.06,43.2
CBS,-1.85,47.06
Christian Science Monitor,-0.21,44.47
CNN,-5.69,42.22
CNN Video,-11.87,36
Conservative Review,25.3,21.8
Conservative Tribune,17.22,29.69
Counterpunch,-19.38,25.06
Crooks and Liars,-23.46,23.06
CSPAN,0,0
Daily Beast,-16.25,34.44
Daily Caller,20.06,23.93
Daily Kos,-21.49,23.16
Daily Mail,3.27,30.67
Daily Signal,23.31,24.79
Daily Wire,16.35,24.39
David Wolfe,0,0
Democracy Now,-19.31,32.91
Drudge Report,0,0
Financial Times,0.62,46.71
Fiscal Times,1.52,44.72
Forbes,0.2,40.27
Foreign Policy,-1.65,41.49
Fortune,0.43,45.15
Forward,-5.69,37.57
Fox News,15.31,26.75
Fox News Cable,24.56,23.16
FreeSpeech TV,-22.49,24.77
Guacamoley,-9.89,19.09
Huffington Post,-11.64,39.98
IJR,6.73,44
InfoWars,31.05,12.97
Intercept,-15.52,37.76
Jacobin,-19.92,32.32
LA Times,-3.06,48.88
Life News,24.75,24.49
Marketwatch,-0.54,44.8
Mother Jones,-13.92,37.31
MSNBC,-4.12,47.35
MSNBC,-10,42.47
MSNBC,-20.87,31.82
National Enquirer,5.41,9.65
NPR,-2.73,49.9
National Review,16.23,26.36
NBC,0,0
New Republic,-12.82,36.43
New York Post,5.15,38.7
New York Times,-4.01,47.5
News and Guts,-9.84,34.98
NewsMax,13.61,33.15
NewsPunch,28.58,14.39
Occupy Democrats,-25.59,20
One America News,15.89,30.57
OZY,-5.43,40.99
Palmer Report,-29.37,17.66
Patribotics,-24.12,13.65
PBS,-2.37,47.86
PJ Media,20.33,18.36
Politico,-5.24,46.11
"Progressive, The",-17.48,37.79
ProPublica,-5.93,47.78
Quartz,-3.89,41.34
Reason,4.12,38.27
RedState,26.44,20.08
Reuters,-0.95,51.64
Second Nexus,-22.61,24.29
ShareBlue,-24.95,22.71
Slate,-18.47,31.12
Spoutable,15.5,14.79
Talking Points Memo,-5.67,41.96
The Advocate,-20.21,32.01
American Conservative,10.82,28.65
American Spectator,23.89,22
The Atlantic,-6.41,40.16
The Blaze,15.7,27.34
The Economist,-2.43,42.34
The Federalist,23.29,22.23
The Gateway Pundit,28.55,12.44
The Guardian,-6.45,47.66
The Hill,0.09,46.23
The Nation,-16.89,33.39
The New Yorker,-6.9,41.85
The Skimm,-3.31,41.67
The Week,-8.31,30.98
Think Progress,-19.12,35.59
Time,-4.35,42.7
Truthout,-24.4,24.07
Twitchy,20.57,17.08
UrNews24,-1.6,22.74
USA Today,-2.03,46.07
Vanity Fair,-17.98,35.42
Vice,-10.72,38.58
Vox,-8.75,41.97
Wall Street Journal,1.89,48.33
Washington Examiner,12.17,29.07
Washington Free Beacon,16.71,35.07
Washington Monthly,-14.68,26.91
Washington Post,-4.18,43.73
Washington Times,12.97,31.34
Wonkette,-31.15,15.27
World Truth TV,8.48,7.41
WorldNetDaily,22.92,16.95
